Timestamp|City/Town|URL
10-9-2015 18:52:46|"Mississauga, ON"|http://52.88.47.169/13fn/Assignment2.html
10-9-2015 19:12:27|"Perth, ON"|http://52.27.50.239/12lllw/asst2.html
10-9-2015 19:48:15|"Oakville, ON"|http://52.27.22.65/11sp72/oakville.html
10-9-2015 19:51:08|"Nobleton, ON"|http://52.88.0.70/14dvl/AssignmentTwo.html
10-9-2015 20:09:57|"Kingston, ON"|http://52.88.18.67/rtt/Assignment2/Assignment2-10140286-HTML.html
10-9-2015 20:18:28|"Aurora, ON"|http://52.27.179.77/13jpm12/282Assgn2.html
10-9-2015 20:18:40|"Toronto, ON"|http://52.27.179.77/13jpm12/282Assgn2.html
10-9-2015 20:27:56|"Markham, ON"|http://52.24.100.36/13kc1/A2/Assignment2.html
10-9-2015 20:29:13|"Halifax, NS"|http://52.25.129.186/13tsm3/282assignment2.html
10-9-2015 20:31:44|"Waterloo, ON"|http://52.88.70.182/13gdt/FinalAssTwo.html
10-9-2015 20:34:54|"Belleville, ON"|http://52.27.207.46/12crp/assgn2_final/assgn2.html
10-9-2015 20:43:29|"Calgary, AB"|http://52.88.47.212/13hyt1/A2-1.html
10-9-2015 20:50:03|"Vancouver, BC"|http://52.88.47.178/12jc59/SetupComplete.html
10-9-2015 22:00:49|"Burlington, ON"|http://52.88.87.70/14jdg/Assignment_2.html
10-9-2015 22:05:24|"Doha, Qatar"|http://52.10.43.222/12la28/Assignment2_12la28.html
10-9-2015 22:10:03|"Guelph, ON"|http://52.88.22.130/0jaaw/assignment2.html
10-9-2015 22:10:08|"Richmond Hill, ON"|http://52.26.139.111/13ai1/MyHomeTown.html
10-9-2015 22:10:30|"Burlington, ON"|http://52.88.9.43/11IHC/Assignment%201.html
10-9-2015 22:19:34|"Banff, AB"|http://52.24.91.249/14pps/assignment2.html
10-9-2015 22:47:13|"Milton, ON"|http://52.88.47.167/14jpk2/
10-9-2015 22:57:25|"Mississauga, ON"|http://52.25.153.203/9cjc6/assignment1.html
10-9-2015 22:58:36|"Istanbul, Turkey"|http://52.88.5.231/12rma1/Turkey282.html
10-9-2015 23:02:31|"Ottawa, ON"|http://52.11.200.200/13jjmc/Ottawa/Ottawa.html
10-9-2015 23:12:12|"Mississauga, ON"|http://52.11.81.99/12aak4/assignment2/index.html
10-9-2015 23:22:46|"Brighton, ON"|http://52.88.28.182/12alb13/BrightonWebsite.html
10-9-2015 23:33:34|"Toronto, ON"|http://52.88.21.210/13am236/a2/index.html
10-9-2015 23:44:50|"Ottawa, ON"|http://52.88.28.125/12kjb4/Assignment2/Assignment2.html
10-9-2015 23:45:10|"Lahore, Pakistan"|http://52.88.45.234/1sm40/LahoreCityBreakdown.html
10-9-2015 23:46:25|"Toronto, ON"|http://52.27.197.210/13ab170/A2/index.html
10-9-2015 23:55:24|"Aurora, ON"|http://52.27.204.212/13jeh/Assignment%202.html
10-9-2015 23:58:36|"Toronto, ON"|http://52.88.35.253/14mjfs/HTML2.html
10-9-2015 23:59:12|"Kingston, ON"|http://52.88.46.136/13aah12/kingston.html
10-10-2015 0:02:14|"Calgary, AB"|http://52.27.212.63/13gm28/Assignment2_10138115_13gm28.html
10-10-2015 0:23:05|"Beijing, China"|http://52.25.94.253/12st3/
10-10-2015 0:42:44|"Ottawa, ON"|http://52.88.10.97/13rgz1/Assignment2/ASSIGNMENT2.html
10-10-2015 3:45:48|"Lanxi, China"|http://52.27.75.26/yd/assignment1.html
10-10-2015 18:59:17|"Kingston, ON"|http://52.26.34.122/14jdb3/MyHomeTown.html
10-10-2015 21:26:15|"Toronto, ON"|http://52.88.35.253/14mjfs/AssignmentTwo.html
10-10-2015 23:33:20|"Ottawa, ON"|http://52.26.217.233/14am27/Assignment2.html
